C1,C2,C3,C4,Score
#FF5D5D,#FF8C8C,#FFC3C3,#FFE3A9,7324
#000000,#B6B09F,#EAE4D5,#F2F2F2,7310
#D5DBB3,#FFF8D9,#BB371A,#EBA83A,7268
#FBDCC4,#F2A07B,#31112C,#7D0633,7253
#E95793,#DA0C81,#940B92,#610C9F,7253
#3B3030,#664343,#795757,#FFF0D1,7231
#1F4E5F,#79A8A9,#AACFD0,#F4F7F7,7224
#470031,#971549,#CF455C,#FF9898,7207
#FF4D00,#FF0000,#272121,#443737,7207
#FF7D29,#FFBF78,#FFEEA9,#FEFFD2,7197
#2E279D,#4D80E4,#46B3E6,#DFF6F0,7193
#BFACE2,#655DBB,#3E54AC,#ECF2FF,7189
#799351,#F6EEC9,#FFA36C,#A20A0A,7162
#534340,#BB9981,#C5D8A4,#F4FCD9,7143
#EED7CE,#EAEAEA,#FFC4E1,#FF87CA,7137
#E6D5B8,#E45826,#F0A500,#1B1A17,7137
#FBFBFB,#EADCA6,#E2C275,#C36A2D,7122
#FAFAFA,#F7D08A,#E5890A,#9D5C0D,7101
#D6C7AE,#BFB29E,#B3A492,#DADDB1,7097
#617A55,#A4D0A4,#F7E1AE,#FFF8D6,7095
#2155CD,#0AA1DD,#79DAE8,#E8F9FD,7059
#FFF323,#FFCA03,#FF5403,#F90716,7041
#E4F1FF,#AED2FF,#9400FF,#27005D,7038
#E2F1E7,#629584,#387478,#243642,7032
#FC4F4F,#FFBC80,#FF9F45,#F76E11,7012
#FFF0C4,#8C1007,#660B05,#3E0703,7006
#D2ECF9,#1891AC,#1F5F8B,#253B6E,6993
#4A266A,#7F4A88,#DE95BA,#FFD9E8,6962
#2B2B28,#E3B04B,#F1D6AB,#F8F8F8,6954
#DE7C7D,#CC2B52,#AF1740,#740938,6937
#FFE2FF,#EFB1FF,#7F78D2,#481380,6935
#FFCAB0,#FFEBBB,#FDFFCD,#E0FFCD,6922
#EA0599,#9A0F98,#6A0572,#39065A,6918
#F6C7C7,#FD94B4,#FF467E,#F12B6B,6896
#3795BD,#2F58CD,#4E31AA,#3A1078,6860
#7B66FF,#5FBDFF,#96EFFF,#C5FFF8,6859
#5C2626,#B74242,#EA7362,#FFD6B6,6852
#F6FCDF,#859F3D,#31511E,#1A1A19,6850
#191717,#7D7C7C,#CCC8AA,#F1EFEF,6832
#163A5F,#1D566E,#21ABA5,#45EBA5,6824
#BECA5C,#EF8D32,#CC561E,#AA2B1D,6775
#FF85B3,#F900BF,#9900F0,#4700D8,6774
#E3FCBF,#B8F1B0,#14C38E,#00FFAB,6772
#FFDFEF,#EABDE6,#D69ADE,#AA60C8,6769
#B030B0,#602080,#202060,#202040,6762
#FFAD84,#FFC47E,#FFE382,#FFF78A,6740
#26191B,#584153,#AF8BAF,#F6ACC8,6727
#F6DA63,#EB8242,#DA2D2D,#9D0B0B,6724
#FFEE63,#D4D925,#FF5B00,#990000,6701
#9DAB86,#D7C79E,#E08F62,#A35638,6686
#DBEDF3,#00818A,#404B69,#283149,6660
#D7EAEA,#ACDBDF,#9692AF,#69779B,6655
#FFB5DA,#FF7ED4,#FF3EA5,#6420AA,6647
#BDE8F5,#4988C4,#1C4D8D,#0F2854,6645
#C3B4D2,#87A8D0,#B9CEEB,#DEECFC,6643
#FA58B6,#7A0BC0,#270082,#1A1A40,6640
#FFF9B0,#FFD384,#FF884B,#FF577F,6628
#FFE569,#F79327,#DB005B,#B70404,6614
#AAAAAA,#F6DCBF,#F7A440,#E1701A,6610
#FFC18E,#CA4E79,#7A4069,#513252,6597
#7A3E65,#A84448,#E9A178,#F6E1C3,6596
#DA8359,#FCFAEE,#ECDFCC,#A5B68D,6588
#FFF1F1,#FFDADA,#BB8760,#4F0E0E,6571
#9FBB73,#F1EB90,#F3B664,#EC8F5E,6549
#F9DEC9,#F78CA2,#D80032,#3D0C11,6530
#460C68,#7F167F,#CB1C8D,#F56EB3,6523
#46B5D1,#515585,#32407B,#151965,6490
#5A92AF,#86C1D4,#9CD9DE,#D9F9F4,6480
#1F7D53,#255F38,#27391C,#18230F,6468
#643843,#85586F,#AC7D88,#FDF0D1,6467
#F4FFC3,#A9C46C,#809D3C,#5D8736,6463
#778873,#A1BC98,#D2DCB6,#F1F3E0,6458
#A10035,#FF869E,#FFC4C4,#FFE7BF,6445
#FD7979,#FDACAC,#FFCDC9,#FEEAC9,6436
#131010,#543A14,#F0BB78,#FFF0DC,6433
#B3A398,#BBC3A4,#C6DCBA,#D7E4C0,6412
#D2D0A0,#9EBC8A,#73946B,#537D5D,6410
#FDFFAE,#E9FFC2,#C3EDC0,#AAC8A7,6399
#8A1253,#C51350,#E8751A,#FDA403,6394
#B5C18E,#F7DCB9,#DEAC80,#914F1E,6393
#E6D5B8,#E45826,#F0A500,#4A3933,6384
#8CABFF,#4477CE,#512B81,#35155D,6377
#FFC300,#EC610A,#A40A3C,#6B0848,6340
#381460,#A278B5,#F6C3E5,#FBDFF0,6320
#F5E7B2,#F9D689,#E0A75E,#973131,6309
#B5A8D5,#7A73D1,#4D55CC,#211C84,6309
