C1,C2,C3,C4,Score
#214151,#A2D0C1,#EFF7E1,#F8DC81,5507
#FBE555,#FB9224,#F45905,#2A1A5E,5495
#9DDAC6,#C2FFD9,#FFD371,#FF4848,5490
#FCC2FC,#C9F4AA,#E5FDD1,#B5F1CC,5458
#19282F,#B33030,#A1B57D,#D3ECA7,5454
#EEEEEE,#0092CA,#393E46,#222831,5383
#EEEEEE,#DDDDDD,#FF8C32,#06113C,5362
#EEEEEE,#E5E5E5,#1089FF,#23374D,5360
#EB1D36,#A2B5BB,#CFD2CF,#F5EDDC,5360
#EEEEEE,#00092C,#B20600,#FF5F00,5343
#F1C40F,#34495E,#ECF0F1,#3498DB,5327
#FFBE00,#E6E6D4,#1C819E,#005874,5315
#B1C381,#EEC759,#FFF7D4,#9BB8CD,5269
#FFD099,#FF9209,#FF6C22,#2B3499,5255
#FFC4DD,#E4AEC5,#82A284,#446A46,5241
#FFFAA4,#54E346,#0E49B5,#153E90,5211
#A6FF96,#F8FF95,#BC7AF9,#FFA1F5,5200
#FB9A40,#FBD341,#F1FFAB,#A3F3EB,5185
#E7E7DE,#008891,#00587A,#0F3057,5170
#CE6262,#AF2D2D,#F05454,#214252,5157
#F5004F,#FFAF00,#F9E400,#7C00FE,5137
#FFE459,#F43B86,#3D087B,#11052C,5124
#E6D9A2,#CB80AB,#8967B3,#624E88,5123
#EEEEEE,#ADDDD0,#87A2FB,#6F38C5,5120
#EEEEEE,#9FC9F3,#A460ED,#F07DEA,5100
#FFE2BC,#FFB367,#FFE277,#58B4AE,5085
#F5FBF1,#F6A7BA,#FEB9C8,#D2F3E0,5085
#454553,#4AA0D5,#D8E9F0,#EB586F,5079
#1A132F,#5B7DB1,#61A4BC,#F7E2E2,5068
#FD2EB3,#FB8D62,#FDD365,#61D4B3,5067
#EFE9D5,#71BBB2,#497D74,#27445D,5059
#1A1C20,#F9813A,#FFD5CD,#FCF1F1,5014
#3D3D3D,#578E7E,#F5ECD5,#FFFAEC,5005
#1A2130,#5A72A0,#83B4FF,#FDFFE2,4999
#D96098,#325288,#FAEEE7,#24A19C,4989
#FBB901,#E62A76,#774898,#00A8B5,4982
#F39233,#F1E189,#B8DE6F,#01C5C4,4961
#F2F7A1,#35A29F,#088395,#071952,4942
#F6F6F6,#FC3C3C,#0F4471,#083358,4928
#FCF69C,#55D8C1,#FF6FB5,#AB46D2,4912
#FFF1CF,#FFD369,#263F44,#015668,4909
#E2E0C8,#A7B49E,#818C78,#5C7285,4901
#3B14A7,#AC66CC,#F6B8B8,#FFED99,4897
#F40552,#FC7E2F,#C3EDEA,#F8F3EB,4890
#DFBAF7,#FFE6CC,#ECFFC1,#B8FFD0,4864
#FDF5AA,#58A0C8,#34699A,#113F67,4850
#8BFFFF,#82ACFF,#8F71FF,#FF5D9E,4843
#E8FFC2,#00FFDD,#2FA4FF,#0E185F,4831
#9BDEAC,#F7F5DD,#E2979C,#E7305B,4827
#FC997C,#DADDFC,#396EB0,#2E4C6D,4819
#243D25,#5F7464,#E4AEC5,#FAD9E6,4807
#DA7297,#FFB4C2,#FDFFD2,#667BC6,4795
#3D3C42,#7F5283,#A6D1E6,#FEFBF6,4737
#F93827,#FF9D23,#FFD65A,#16C47F,4737
#E3E3E3,#456882,#234C6A,#1B3C53,4726
#C0D6E8,#FBF8DD,#E9C874,#A34343,4714
#F3ECB0,#ADE792,#6ECCAF,#344D67,4711
#FFED00,#16FF00,#0F6292,#000000,4623
#F3F3F3,#303841,#3A4750,#2185D5,4593
#919190,#C4EADA,#FCF3CA,#EF7B7B,4583
#FFF7DD,#B4DEBD,#91C4C3,#80A1BA,4563
#A374D5,#BE97DC,#EEC1EA,#FFFBBE,4540
#F7ECDE,#E9DAC1,#18978F,#54BAB9,4525
#EEEEEE,#FF5722,#2D4059,#222831,4521
#1F4E5F,#0881A3,#F4E7D3,#F9F8ED,4517
#FB3569,#FF9D76,#FFFDE1,#51EAEA,4505
#494953,#6A7EFC,#EDF2F6,#FF5656,4462
#FF4273,#FF9D76,#FFFDE1,#1FFFFF,4460
#7C73C0,#94ADD7,#ACFADF,#E8FFCE,4442
#207DFF,#00BD56,#85EF47,#F9FD50,4419
#FFE9D6,#65D6CE,#654062,#FA9579,4414
#5782BB,#64D7D6,#FFFEEC,#C4AFF0,4396
#E76F51,#F4A261,#E9C46A,#36BA98,4396
#03002C,#BB0029,#F5841A,#F2E8C6,4393
#1E1548,#FF2E4C,#FCD77F,#2E99B0,4387
#FFDC34,#4DD599,#00918E,#110133,4386
#FDFFE7,#C9FDD7,#99F0CA,#8C7676,4377
#FFFCAB,#9AEBED,#A275E3,#FA86BE,4374
#F1EBBB,#B5076B,#5C2A9D,#45046A,4352
#B9EBCC,#F2A51A,#EA6227,#342EAD,4317
#BBF1C8,#80BDAB,#342B38,#FF9595,4305
#EC9CD3,#6ECB63,#B1E693,#FBF4E9,4282
#FFE194,#E8F6EF,#1B9C85,#4C4C6D,4260
#F2FA5A,#5EE6EB,#56BBF1,#4D77FF,4254
#FFB037,#FFE268,#364547,#2F5D62,4223
#F6F6F6,#F2DF3A,#3AB4F2,#0078AA,4218
#F6C065,#55B3B1,#AF0069,#09015F,4214
#FFBD39,#E4007C,#930077,#090088,4212
#ECECEB,#E25822,#000000,#10316B,4210
#18B0B0,#116979,#DEE3E2,#DE7119,4208
#F4F4F4,#1D546C,#1A3D64,#0C2B4E,4200
#FFBD69,#FE346E,#B21F66,#111D5E,4196
#FFC55C,#E7A4E4,#B2DFFB,#D3F4FF,4184
#FFB961,#F3826F,#C05C7E,#2D3561,4174
#1A5F7A,#086E7D,#FFC900,#FFF89A,4168
#D3D04F,#8EAC50,#17594A,#213363,4168
#FFADED,#C768FF,#7045FF,#83FFE1,4154
#F2F2F2,#B9E6D3,#7ED3B2,#EF6C57,4154
#E16262,#FABC60,#3A9679,#11144C,4144
#F9F9F9,#FF7A8A,#113A5D,#062743,4136
#060608,#2470A0,#A696C8,#FAD3CF,4127
#146C94,#19A7CE,#B0DAFF,#FEFF86,4122
#E7F3EE,#B18EA6,#F2A6A6,#B2E4D5,4111
#FFD717,#0D63A5,#083358,#001F3F,4101
#FAFDD6,#AED6CF,#91ADC8,#647FBC,4083
#332C39,#C92C6D,#609EA2,#F0EEED,4069
#687FE5,#EBD6FB,#FEEBF6,#FCD8CD,4039
#E23E57,#555273,#65799B,#E2EFF1,4031
#3C3D47,#D35656,#F66767,#F9D5BB,4025
#DAE1E7,#DD6B4D,#1C4B82,#183661,4019
#F30A49,#090030,#0C3C78,#04879C,4004
#ECECDA,#FF304F,#0E2F56,#118DF0,3995
#F9F9F9,#C4FFDD,#113A5D,#062743,3977
#D2FAFB,#FE346E,#512B58,#2C003E,3928
#F0CAA3,#C060A1,#3B185F,#00005C,3921
#F0EB8D,#8F43EE,#413543,#2D2727,3915
#F1FA3C,#C355F5,#AA26DA,#851DE0,3909
#E78EA9,#FFFBE7,#B9F8D3,#40DFEF,3905
#77037B,#210062,#009FBD,#F9E2AF,3890
#FFF2AF,#DAD2FF,#B2A5FF,#493D9E,3879
#D8345F,#E58A8A,#CCAFAF,#588DA8,3873
#FF6C00,#A0204C,#23103A,#282D4F,3870
#E6D3A7,#59A985,#3A7563,#392F2F,3864
#DD761C,#FEB941,#FDE49E,#6DC5D1,3859
#FC5185,#FCE38A,#3FC1C9,#364F6B,3858
#FF8A5C,#49BEB7,#BADFDB,#FCF9EA,3858
#D7FBF6,#48E0E4,#E40475,#0E0220,3855
#10375C,#844685,#F3C623,#FAF4FF,3843
#B7A3E3,#C2E2FA,#FFF1CB,#FF8F8F,3840
#557669,#669B7C,#EBEBEB,#F2D1A8,3816
#FDC57B,#FBF2D5,#7FA99B,#394A51,3808
#5CD2E6,#3085C3,#F4E869,#FAF2D3,3797
#E8E8E8,#5588A3,#145374,#00334E,3794
#F4FA9C,#F469A9,#BA53DE,#88BEF5,3778
#C62E2E,#F95454,#77CDFF,#0D92F4,3775
#FF9874,#FFD7C4,#9DBDFF,#7695FF,3763
#FFF5E1,#FFD39A,#319DA0,#781C68,3746
#EEEEEE,#7AA5D2,#47555E,#303841,3739
#06202B,#077A7D,#7AE2CF,#F5EEDD,3735
#FFCC00,#B13BFF,#471396,#090040,3729
#FFF4E0,#73D2F3,#26BAEE,#9FE8FA,3699
#FF5D6E,#2EB872,#A3DE83,#FEFFEA,3697
#862A5C,#F4A548,#F6D198,#7EBDB4,3693
#F7F7F7,#F6C90E,#2E4750,#303841,3670
#351F39,#726A95,#A0C1B8,#F4E8C1,3644
#D96459,#F2AE72,#F2E394,#588C73,3639
#FFF9AF,#33A1E0,#1C6EA4,#154D71,3632
#E9EEC9,#BBBBBB,#913535,#283148,3625
#FB5B5A,#BC4873,#472B62,#003F5C,3619
#F8FCEB,#F6F7D3,#495664,#333C4A,3613
#BCF2F6,#08C2FF,#006BFF,#FFF100,3610
#004A7C,#005691,#CDCDCD,#F2F2F2,3606
#F2F2F0,#11BFAE,#456173,#1B3C59,3602
#F59292,#ECE8E5,#838ED9,#657DC4,3563
#169976,#1DCD9F,#222222,#000000,3548
#CC99F9,#DEC8ED,#F5FAC7,#89F8CE,3530
#9B8EC7,#BDA6CE,#B4D3D9,#F2EAE0,3523
#C6FCED,#8AD7C1,#825959,#A07676,3512
#303841,#D6E6F2,#F5F5F5,#FFF200,3511
#F4E5C2,#6DB193,#295F4E,#323232,3511
#466C95,#5DAE8B,#F6F49D,#FF7676,3509
#703B3B,#A18D6D,#E1D0B3,#9BB4C0,3508
#3C2946,#56556E,#BBD196,#FFD571,3497
#FF4F0F,#FFA673,#FFE3BB,#03A6A1,3490
#007892,#FF427F,#FC8210,#FFD8A6,3485
#5BE7A9,#F8FE85,#FFBD67,#FF6464,3471
#ECCE6D,#B0A160,#434E52,#5B8C85,3443
#F7B633,#90A4AE,#607D8B,#37474F,3441
#E14434,#FFB4B4,#FEFBC7,#5EABD6,3409
#FD6378,#F9B8BE,#50666B,#2E3B3E,3406
#FD5959,#F0B775,#FFFDC1,#2E94B9,3400
#AEDEFC,#EDFFF0,#FDEDED,#F875AA,3393
#272637,#474168,#626F92,#F9C4AC,3378
#1A0000,#58287F,#89C4E1,#F5EDCE,3373
#647D87,#6DA4AA,#F6D776,#FAEF9B,3366
#9C2C2C,#F79C1D,#F6E79C,#7FA99B,3364
#D4FAFC,#B8E7E1,#FFEEB3,#9E6F21,3349
#262525,#FC6B3F,#84F2D6,#FFF6DA,3340
#8C7676,#FDFFE7,#C9FDD7,#99F0CA,3332
#EDEDCE,#629FAD,#296374,#0C2C55,3330
#F8F6F6,#F5D061,#CF4647,#2A363B,3319
#8EA1F0,#82C7EB,#A5F0E4,#F5FAC8,3305
#CFD186,#5B8C5A,#596157,#552244,3304
#FFF5B8,#FFE7A0,#00C4FF,#30A2FF,3300
#453F78,#795458,#C08B5C,#FFC94A,3289
#D864A9,#EBB02D,#F7DB6A,#7AA874,3274
#F9F7F7,#60EFB8,#CEFC86,#90AEFF,3269
#60316E,#4B6289,#29A19C,#A3F7BF,3265
#342B2B,#459D72,#90D26D,#DEFBC2,3251
#FED8A7,#07A4B5,#C9EFF9,#F9FCFD,3251
#EA5E5E,#1F6650,#6F9A8D,#EAFBEA,3246
#FFE869,#FFFBCB,#ED5485,#57D1C9,3226
#EEEEEE,#FF5722,#393E46,#222831,3199
#604CC3,#8FD14F,#F5F5F5,#FF6600,3197
#084A83,#539DDB,#C6E5F3,#FFFFE7,3195
#F9C6BA,#DD6892,#3C6F9C,#512C96,3191
#FCE38A,#02C39A,#028090,#003459,3188
#1BB5EC,#4DF4FF,#F7FED4,#FF5AB0,3183
#EDEDED,#0099FF,#0066CC,#000033,3175
#21174A,#127681,#FAC70B,#DF0E62,3153
#FFF78C,#F4A9C7,#23A393,#20716A,3139
#F2F597,#37B5B6,#492E87,#0A1D56,3135
#FCFFC8,#D5FFFB,#7CDFFF,#E9007F,3116
#AFC5FF,#FCFF82,#FF9C6D,#FD5959,3109
#FAF7FF,#FFD700,#9951FF,#6900FF,3105
#8FF5D2,#FCFFC9,#FAF885,#F79486,3093
#034561,#409D9B,#4FB783,#FEEB97,3081
#FCF4D9,#50E3C2,#FF7A5A,#432160,3073
#FFF8A1,#FF008B,#FAF7E6,#73DBC4,3060
